id,name,height,date_of_birth,known_for_movies
nm0083659,John Birmingham,150,07-10-1977,tt2880664
nm0000598,Dennis Quaid,183,09-04-1954,
nm0083777,Taner Birsel,200,12-05-1905,tt6316138
nm0000599,Kathleen Quinlan,165,19-11-1954,
nm0084370,Yannick Bisson,200,16-05-1969,tt4068586
nm0084502,Fabrício Bittar,150,24-07-1980,"tt8753660,tt6791886"
nm0000603,Vanessa Redgrave,181,30-01-1937,
nm0084908,Edda Björgvinsdóttir,150,13-09-1952,tt6223806
nm0000604,John C. Reilly,188,24-05-1965,
nm0085791,Abigail Blackmore,200,,tt4522922
nm0000606,Jean Reno,188,30-07-1948,
nm0086301,Macon Blair,150,,tt1800302
nm0000610,Giovanni Ribisi,171,17-12-1974,
nm0087237,Carlos Blanco,150,12-05-1905,tt5612554
nm0000612,Denise Richards,168,17-02-1971,
nm0087324,Rita Blanco,200,11-01-1963,tt5528282
nm0000613,Joely Richardson,178,09-01-1965,
nm0087756,Chris Blasman,200,,tt0926132
nm0089502,Albert Pyun,150,07-05-1905,tt7008310
nm0000619,Tim Roth,170,14-05-1961,
nm0090283,Kunchacko Boban,150,,tt6315524
nm0000620,Mickey Rourke,180,16-09-1952,
nm0090312,Sean Bobbitt,150,29-11-1958,tt4218572
nm0000623,Rene Russo,173,17-02-1954,
nm0090674,Rainer Bock,200,31-07-1954,tt0451279
nm0000627,Greta Scacchi,173,18-02-1960,
nm0091368,Gerhard Bös,150,,tt7603636
nm0000628,Johnathon Schaech,180,10-09-1969,
nm0091505,Stephen Bogaert,150,,tt1396484
nm0000631,Ridley Scott,174,30-11-1937,
nm0092514,Victor Bojinov,150,23-01-1972,tt5310412
nm0000638,William Shatner,177,22-03-1931,
nm0094080,Fedor Bondarchuk,200,09-05-1967,tt4731148
nm0000642,Marina Sirtis,160,29-03-1955,
nm0094744,Ron Bonk,200,,tt8387464
nm0000644,Helen Slater,173,15-12-1963,
nm0095275,Bernie Bonvoisin,150,09-07-1956,tt1396484
nm0000649,Paul Sorvino,191,13-04-1939,
nm0096585,Miguel Borges,150,07-09-1966,tt2050452
nm0000650,Talisa Soto,173,27-03-1967,
nm0096719,Livia Borgognoni,150,,tt6320628
nm0000654,Terence Stamp,183,22-07-1938,
nm0097077,Josephine Bornebusch,200,12-09-1981,tt7408796
nm0000655,Eric Stoltz,180,30-09-1961,
nm0097517,Derrick Borte,150,07-12-1967,tt6769326
nm0000656,Madeleine Stowe,173,18-08-1958,
nm0097893,Rahul Bose,200,27-07-1967,tt6180274
nm0000657,David Strathairn,182,26-01-1949,
